experiment,root,fault_type,load_profile,runs,top1,top2,top5,pr1_rate,pr2_rate,pr5_rate,acc_mean,acc_std,rank_mean,rank_median,rank_min,rank_max,min_quality
el_e16,carts,cpu-stress,legacy-compressed-v1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2857,0.0,6.0,6.0,6.0,6.0,1.0
el_e6,orders,network-delay,legacy-compressed-v1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1429,0.0,7.0,7.0,7.0,7.0,1.0
mesh_e5,catalogue,network-delay,legacy-compressed-v1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.07145,0.10104555903155764,7.0,7.0,7.0,7.0,1.0
mesh_e1,payment,pod-kill,legacy-compressed-v1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.071425,0.14285,6.0,6.0,6.0,6.0,0.975
mesh_e4,user,network-delay,legacy-compressed-v0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0
el_e1,payment,network-loss,legacy-compressed-v1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0
el_e10,orders,cpu-stress,legacy-compressed-v1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0
el_e11,carts,pod-kill,legacy-compressed-v1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.99
el_e12,carts,network-delay,legacy-compressed-v1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0
el_e14,carts,network-corrupt,legacy-compressed-v1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0
el_e15,carts,network-duplicate,legacy-compressed-v1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0
el_e3,payment,network-duplicate,legacy-compressed-v1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0
el_e7,orders,network-loss,legacy-compressed-v1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0
el_e8,orders,network-corrupt,legacy-compressed-v1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0
el_e9,orders,network-duplicate,legacy-compressed-v1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0
