experiment,root,fault_type,runs,v0_runs,v1_runs,top1,top2,top5,pr1_rate,pr2_rate,pr5_rate,acc_mean,acc_std,min_quality,missing,zeros,mean_ratio
mesh_e1,payment,pod-kill,10,6,4,4.0,5.0,5.0,0.4,0.5,0.5,0.5142800000000001,0.4911896800399799,0.975,20,0,2.28434449196067
mesh_e3,payment,network-delay,10,6,4,2.0,4.0,6.0,0.2,0.4,0.6,0.48571,0.42696800673794955,1.0,0,0,1.4219721044072449
mesh_e2,user,pod-kill,5,3,2,2.0,2.0,2.0,0.4,0.4,0.4,0.4,0.5477225575051662,0.985,9,0,1.4671267357813709
el_e2,payment,network-corrupt,10,0,10,2.0,3.0,5.0,0.2,0.3,0.5,0.39999,0.4456825388597184,1.0,0,0,0.9232048507343416
el_e5,orders,pod-kill,10,0,10,1.0,2.0,6.0,0.1,0.2,0.6,0.45714,0.3737378766521322,0.995,9,0,5.146839822553934
el_e13,carts,network-loss,10,0,10,1.0,2.0,3.0,0.1,0.2,0.3,0.25714,0.3856787759550975,1.0,0,0,1.6442271717073655
mesh_e5,catalogue,network-delay,7,5,2,0.0,1.0,1.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.3194223111448899,1.0,0,0,108.6883548556575
el_e4,payment,cpu-stress,10,0,10,0.0,0.0,3.0,0.0,0.0,0.3,0.24286000000000002,0.2780639263031275,1.0,0,0,7.999091389195627
el_e16,carts,cpu-stress,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2857,0.0,1.0,0,0,2.219888876470621
el_e6,orders,network-delay,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1429,0.0,1.0,0,0,7.850635711385287
mesh_e4,user,network-delay,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,109.27020207737722
el_e1,payment,network-loss,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.7963024448062888
el_e10,orders,cpu-stress,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1.937214742974087
el_e11,carts,pod-kill,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,6,0,7.231327767635783
el_e12,carts,network-delay,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,3.891169736056878
el_e14,carts,network-corrupt,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1.3959015802324788
el_e15,carts,network-duplicate,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.4308543157240262
el_e3,payment,network-duplicate,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.932872158519577
el_e7,orders,network-loss,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.8283101004669666
el_e8,orders,network-corrupt,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1.1225407962609026
el_e9,orders,network-duplicate,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1.4865424505738367
