experiment,root,fault_type,runs,top1,top2,top5,pr1_rate,pr2_rate,pr5_rate,acc_mean,acc_std,min_quality
mesh_e1,payment,pod-kill,10,4.0,5.0,5.0,0.4,0.5,0.5,0.5142800000000001,0.4911896800399799,0.975
mesh_e3,payment,network-delay,10,2.0,4.0,6.0,0.2,0.4,0.6,0.48571,0.42696800673794955,1.0
mesh_e2,user,pod-kill,5,2.0,2.0,2.0,0.4,0.4,0.4,0.4,0.5477225575051662,0.985
el_e2,payment,network-corrupt,8,2.0,3.0,5.0,0.25,0.375,0.625,0.49998750000000003,0.44524733555792173,1.0
el_e5,orders,pod-kill,7,1.0,2.0,3.0,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.3673428571428571,0.4193958824195537,0.995
el_e13,carts,network-loss,5,1.0,1.0,2.0,0.2,0.2,0.4,0.34286,0.41156942063277735,1.0
mesh_e5,catalogue,network-delay,7,0.0,1.0,1.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.3194223111448899,1.0
el_e4,payment,cpu-stress,5,0.0,0.0,3.0,0.0,0.0,0.6,0.37142,0.34404081443921736,1.0
el_e16,carts,cpu-stress,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2857,0.0,1.0
el_e6,orders,network-delay,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1429,0.0,1.0
mesh_e4,user,network-delay,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
el_e1,payment,network-loss,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
el_e10,orders,cpu-stress,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
el_e11,carts,pod-kill,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99
el_e12,carts,network-delay,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
el_e14,carts,network-corrupt,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
el_e15,carts,network-duplicate,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
el_e3,payment,network-duplicate,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
el_e7,orders,network-loss,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
el_e8,orders,network-corrupt,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
el_e9,orders,network-duplicate,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
